Timestamp,Left_Input_World_X,Left_Input_World_Y,Left_Base_X,Left_Base_Y,Calculated_Rel_X,Calculated_Rel_Y,Left_Duration_Sec,Right_Base_X,Right_Base_Y,Right_Output_World_X,Right_Output_World_Y
11:08:51,2.00,-4.00,2.0,-2.0,0.00,-2.00,8.00,2.0,2.0,2.00,0.00
11:09:58,1.00,-2.00,2.0,-2.0,-1.00,0.00,8.00,2.0,2.0,1.00,2.00
11:14:23,2.00,-4.00,2.0,-2.0,0.00,-2.00,8.00,2.0,2.0,2.00,0.00
11:16:47,2.00,-4.00,2.0,-2.0,0.00,-2.00,8.00,2.0,2.0,2.00,0.00
11:19:54,2.00,-4.00,2.0,-2.0,0.00,-2.00,0.02,2.0,2.0,2.00,0.00
11:20:04,1.00,-2.00,2.0,-2.0,-1.00,0.00,0.03,2.0,2.0,1.00,2.00
11:20:17,3.00,-2.00,2.0,-2.0,1.00,0.00,0.03,2.0,2.0,3.00,2.00
11:20:42,2.00,-4.00,2.0,-2.0,0.00,-2.00,0.03,2.0,2.0,2.00,0.00
11:20:49,2.00,-3.00,2.0,-2.0,0.00,-1.00,0.03,2.0,2.0,2.00,1.00
11:20:55,1.00,-3.00,2.0,-2.0,-1.00,-1.00,0.03,2.0,2.0,1.00,1.00
11:21:11,2.00,-4.00,2.0,-2.0,0.00,-2.00,0.03,2.0,2.0,2.00,0.00
11:31:36,2.00,-4.00,2.0,-2.0,0.00,-2.00,8.00,2.0,2.0,2.00,0.00
11:31:47,1.00,-3.00,2.0,-2.0,-1.00,-1.00,0.03,2.0,2.0,1.00,1.00
11:31:59,2.00,-1.00,2.0,-2.0,0.00,1.00,0.02,2.0,2.0,2.00,3.00
11:32:05,2.00,-4.00,2.0,-2.0,0.00,-2.00,0.02,2.0,2.0,2.00,0.00
11:32:19,2.00,-1.00,2.0,-2.0,0.00,1.00,0.02,2.0,2.0,2.00,3.00
11:38:00,2.00,-4.00,2.0,-2.0,0.00,-2.00,0.00,2.0,2.0,2.00,0.00
11:38:21,1.00,-1.00,2.0,-2.0,-1.00,1.00,0.00,2.0,2.0,1.00,3.00
11:41:03,2.00,-4.00,2.0,-2.0,0.00,-2.00,0.00,2.0,2.0,2.00,0.00
11:41:32,1.00,-1.00,2.0,-2.0,-1.00,1.00,0.00,2.0,2.0,1.00,3.00
11:41:44,1.00,-3.00,2.0,-2.0,-1.00,-1.00,0.00,2.0,2.0,1.00,1.00
11:42:51,3.00,-1.00,2.0,-2.0,1.00,1.00,0.00,2.0,2.0,3.00,3.00
11:43:01,2.00,-4.00,2.0,-2.0,0.00,-2.00,0.00,2.0,2.0,2.00,0.00
11:43:29,3.00,-1.00,2.0,-2.0,1.00,1.00,0.00,2.0,2.0,3.00,3.00
